"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1",1090180830,"http://www.vertnet.org/resources/norms.html","13dfc87e-6075-49f9-ab46-119335c95a61","en","2007-04-27T09:01Z","http://creativecommons.org/publicdomain/zero/1.0","Bernice","Pauahi","Bishop","Museum","PhysicalObject","BPBM","BISH","Herbarium","Pacificum","World","Specimens","BPBM","PRESERVED_SPECIMEN","13dfc87e-6075-49f9-ab46-119335c95a61","464394","Jack,","J.G.","in","collection","1904-08-21T00:00Z","234","234","1904","8","21","21","Aug","1904","NORTH_AMERICA","US","Washington","Longmire","Springs,","Washington","Longmire","Springs,","Washington","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","Species","ICNafp","b929f23d-290f-4e85-8f17-764c55b3b284","US","2016-04-17T14:47Z","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2016-04-04T14:40Z","2016-04-04T14:40Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1095965845,"S:VascularPlants:S-C-5512","2015-04-11T12:06Z","PhysicalObject","urn:lsid:biocol.org:col:15668","S","VascularPlants","PRESERVED_SPECIMEN","S:VascularPlants:S-C-5512","S-C-5512","14939","A.","A.","Heller","dried","on","sheet","14939","1929-07-15T00:00Z","1929","7","15","15","july","1929","North","America;","United","States","(excl.","Hawaii);","Alaska","NORTH_AMERICA","US","Alaska","USA,","Alaska,","Sitka,","Grade","on","road","USA,","Alaska,","Sitka,","Grade","on","road","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae;Pinophyta;Pinales;Cupressaceae;Chamaecyparis","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","0943f690-fde5-11dd-83f4-b8a03c50a862","SE","2016-04-17T17:31Z","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2016-01-07T13:26Z","2016-01-07T13:26Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1050655614,"VIT:VIT-Vasculares:90359-1","es","2015-04-21T08:50Z","Collection","VIT","VIT-Vasculares","PRESERVED_SPECIMEN","VIT:VIT-Vasculares:90359-1","90359-1","P.","URRUTIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",466094664,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V176235","Charles","E.","Beil","1974-08-14T00:00Z","1974","8","14","CA","British","Columbia","Queen","Charlotte","Islands,","Graham","Island,","Tow","Hill","Ecological","Reserve","54.08333","-131.8","Charles","E.","Beil","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:47Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",441722068,"UWBM","Plants","PRESERVED_SPECIMEN","30711","Don","Knoke","2002-08-10T00:00Z","2002","8","10","US","Washington","Chelan","North","Cascades","National","Park;","Pelton","Basin","east","of","Cascade","Pass;","hillside","opposite","camp.","48.46","-121.04633","David","Tank","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T16:22Z","1424.0","0.0","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DIGIR","2014-10-07T14:57Z","2014-10-07T14:57Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",441722186,"UWBM","Plants","PRESERVED_SPECIMEN","38475","Elmer","I.","Applegate","1929-07-11T00:00Z","1929","7","11","US","Oregon","Douglas","Harshberger","Mountain,","rocky","crest","of","Umpqua-Rogue","River","Divide.","D.","Michener","1989-01-01T00:00Z","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T16:22Z","1610.0","0.0","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DIGIR","2014-10-07T14:57Z","2014-10-07T14:57Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",51794574,"OSC","ORE","PRESERVED_SPECIMEN","ORE2305","L.F.","Henderson,","J.R.","Patterson","1927-08-09T00:00Z","1927","8","9","NORTH_AMERICA","US","Oregon","Lane","above","Musick","Mine,","Bohemia","Mt.","Henderson,","L.","1927-01-01T00:00Z","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","84aa5ee4-f762-11e1-a439-00145eb45e9a","US","2016-04-17T14:47Z","1524.0","0.0","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DIGIR","2015-05-14T14:25Z","2015-07-16T12:33Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",614621658,"2667-1995","en|fr","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Jardin","Botanique","de","Montréal","PhysicalObject","urn:lsid:biocol.org:col:35060","http://dx.doi.org/10.5886/uxx7hzy3","Jardin","Botanique","de","Montréal","JBM","Jardin","Botanique","de","Montréal","(JBM)","Jardin","Botanique","de","Montréal","LIVING_SPECIMEN","provenance=Garden","2667-1995","2667-1995","Xanthocyparis","nootkatensis","(D.","Don)","Farjon","&","Harder","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICBN","7a7244fc-13b9-43ee-93c9-0d5c4457a86a","CA","2016-04-17T14:47Z","false","false","2683894","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Xanthocyparis","DWC_ARCHIVE","2016-02-15T19:19Z","2016-02-15T19:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",614629150,"8995-1939","en|fr","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Jardin","Botanique","de","Montréal","PhysicalObject","urn:lsid:biocol.org:col:35060","http://dx.doi.org/10.5886/uxx7hzy3","Jardin","Botanique","de","Montréal","JBM","Jardin","Botanique","de","Montréal","(JBM)","Jardin","Botanique","de","Montréal","LIVING_SPECIMEN","provenance=Garden","8995-1939","8995-1939","Xanthocyparis","nootkatensis","(D.","Don)","Farjon","&","Harder","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICBN","7a7244fc-13b9-43ee-93c9-0d5c4457a86a","CA","2016-04-17T14:47Z","false","false","2683894","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Xanthocyparis","DWC_ARCHIVE","2016-02-15T19:19Z","2016-02-15T19:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",368280039,"21271800","2015-03-06T15:58Z","Occurrence","FloraOfCountyWaterford","NBDC","FloraOfCountyWaterford","HUMAN_OBSERVATION","l44st2vp","Green,","Paul","R.","&","Ian","P.","2001-10-21T00:00Z","2001","10","21","EUROPE","IE","Kilminin","Lower","52.13371","-7.4874","10000.0","verified","by","contributor","Xanthocyparis","nootkatensis","(D.","Don)","Farjon","&","Harder","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","Recommended","name","eb419cc0-c7b4-11de-b279-9833b6998c8d","IE","2016-04-15T23:03Z","COORDINATE_ROUNDED","true","false","2683894","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Xanthocyparis","DWC_ARCHIVE","2015-03-06T17:29Z","2015-03-06T17:29Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1261841005,"http://www.tropicos.org/Specimen/916526","urn:catalog:MO:Tropicos:916526","http://creativecommons.org/licenses/by/4.0/legalcode","Missouri","Botanical","Garden","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","MO","MO","Tropicos","MOBOT","PRESERVED_SPECIMEN","urn:catalog:MO:Tropicos:916526","916526","Engelmann","s.n.","George","Engelmann","1869-05-14T00:00Z","1869","5","14","EUROPE","DE","Cultivated","Bernhard","Andreae's","Garden.","9400776","Thujopsis","borealis","Hort.","ex","Carrière","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","borealis","SPECIES","ICNafp","No","opinion","7bd65a7a-f762-11e1-a439-00145eb45e9a","US","2016-04-17T14:47Z","false","false","3611075","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Thujopsis","DWC_ARCHIVE","2016-03-21T18:10Z","2016-06-06T13:28Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",735614542,"BONN","Botanical","Garden","Bonn","LIVING_SPECIMEN","790651","Xanthocyparis","nootkatensis","(D.","Don)","Farjon","&","Harder","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","dfcb0ee8-614f-11e2-897a-00145eb45e9a","DE","2016-04-16T00:25Z","false","false","2683894","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Xanthocyparis","BIOCASE","2014-11-07T16:50Z","2016-06-03T03:40Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1261446582,"http://www.tropicos.org/Specimen/726972","urn:catalog:MO:Tropicos:726972","http://creativecommons.org/licenses/by/4.0/legalcode","Missouri","Botanical","Garden","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","MO","MO","Tropicos","MOBOT","PRESERVED_SPECIMEN","urn:catalog:MO:Tropicos:726972","726972","Howell","536","Thomas","J.","Howell","1889","10","NORTH_AMERICA","US","Oregon","Base","of","Mount","Hood.","9400244","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICNafp","Legitimate","7bd65a7a-f762-11e1-a439-00145eb45e9a","US","2016-04-17T14:47Z","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2016-03-21T17:53Z","2016-06-06T13:26Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1248706605,"Callitropsis","nootkatensis","(D.","Don)","Oersted","ex","D.P.","Little","(QFA0057504)","QFA0057504","fr|en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Université","Laval","Physical","Object","urn:lsid:biocol.org:col:15846","http://dataset.canadensys.net/qfa-vascular-specimens","Université","Laval","QFA","Herbier","Louis-Marie","(QFA)","-","Collection","de","plantes","vasculaires","Université","Laval","PRESERVED_SPECIMEN","QFA0057504","QFA0057504","Davidson,","J.","mounted","1914-05-01T00:00Z","1914","5","1","01","mai","1914","Southern","bluffs","CA","British","Columbia.","Grouse","Mountain","Herbier","Louis-Marie","2014-01-01T00:00Z","Callitropsis","nootkatensis","(D.","Don)","D.P.","Little","Callitropsis","nootkatensis","(D.","Don)","Oersted","ex","D.P.","Little","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICBN","2fd02649-fc08-4957-9ac5-2830e072c097","CA","2016-04-17T14:47Z","false","false","5284235","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Callitropsis","DWC_ARCHIVE","2016-03-23T15:49Z","2016-03-23T15:49Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1097040520,"0759047d-44a9-4215-8146-c0395ad5ef44","en","The","New","York","Botanical","Garden","PhysicalObject","NY","PRESERVED_SPECIMEN","0759047d-44a9-4215-8146-c0395ad5ef44","19114","SWE-21-83","S.","W.","Edwards","1983-07-11T00:00Z","1983","7","11","NORTH_AMERICA","US","California","Siskiyou","Co.","Klamath","National","Forest,","south","end","of","Buck","Lake.","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICBN","d415c253-4d61-4459-9d25-4015b9084fb0","US","2016-04-17T17:30Z","1356.35","45.75","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2015-11-17T16:27Z","2015-11-17T16:27Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1097273476,"30fe5bba-acdb-45a4-88ec-799a63546917","en","The","New","York","Botanical","Garden","PhysicalObject","NY","PRESERVED_SPECIMEN","30fe5bba-acdb-45a4-88ec-799a63546917","19085","s.n.","A.","P.","Dachnowski-Stokes","1913-09-16T00:00Z","1913","9","16","NORTH_AMERICA","US","Washington","Mt.","Rainier","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICBN","d415c253-4d61-4459-9d25-4015b9084fb0","US","2016-04-17T17:30Z","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2015-11-17T16:29Z","2015-11-17T16:29Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1061099098,"urn:catalog:UCMP:P:BCL835","2013-12-11T23:35Z","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=PBCL835&one=T","http://vertnet.org/resources/norms.html","UCMP","P","PRESERVED_SPECIMEN","Location","data","available","to","qualified","researchers","on","request.","BCL835","leaf","UCM083305","CL124","NORTH_AMERICA","US","Washington","Pierce","County","Mt.","Rainier","CL124","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICBN","58d0f326-2e85-4d0a-a744-571461220f00","US","2016-04-17T18:05Z","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2016-04-07T21:24Z","2016-06-02T21:39Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1061099100,"urn:catalog:UCMP:P:BCL836","2013-12-11T23:35Z","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=PBCL836&one=T","http://vertnet.org/resources/norms.html","UCMP","P","PRESERVED_SPECIMEN","Location","data","available","to","qualified","researchers","on","request.","BCL836","leaf","UC511406","CL124","NORTH_AMERICA","US","Washington","Pierce","County","Mt.","Rainier","CL124","Chamaecyparis","nootkatensis","(D.","Don)","Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Xanthocyparis","nootkatensis","SPECIES","ICBN","58d0f326-2e85-4d0a-a744-571461220f00","US","2016-04-17T18:05Z","false","false","2683900","6","7707728","194","640","8144","2683893","2683894","Xanthocyparis","nootkatensis","Chamaecyparis","DWC_ARCHIVE","2016-04-07T21:24Z","2016-06-02T21:39Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
