"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1",1095048781,"urn:catalog:O:V:2002118","2015-05-04T00:00Z","O","V","PRESERVED_SPECIMEN","urn:catalog:O:V:2002118","2002118","Rolf","Y.","Berg","1964-03-14T00:00Z","1964","3","14","In","canyon,","near","stream.","Oak","woodland.","Tree,","ca","15","feet","tall.","US","California","Yolo:Cache","Creek","Canyon,","along","Hwy","16,","ca","2.5","miles","NW","of","Rumsey,","just","N","of","bridge.","Rolf","Y.","Berg","1964-03-14T00:00Z","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","e45c7d91-81c6-4455-86e3-2965a5739b1f","NO","2016-04-17T16:44Z","0.15","0.0","ELEVATION_NON_NUMERIC;ELEVATION_NOT_METRIC","false","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-03-28T14:39Z","2016-06-06T14:43Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1065572887,"86149","http://creativecommons.org/licenses/by/4.0/","2015-02-17T09:01Z","http://www.inaturalist.org/observations/86149","©","anisajackson","some","rights","reserved","anisajackson","iNaturalist","Observations","iNaturalist","research-grade","observations","HUMAN_OBSERVATION","http://www.inaturalist.org/observations/86149","86149","anisajackson","Carkeek","Park","recognizable","by","the","leaves","which","were","at","least","8","inches","long","growing","three","feet","away","from","a","creek","2012-06-01T00:00Z","2012","6","1","2012-06-01","US","Carkeek","Park","47.71067","-122.37293","1140.0","126607","2012-06-02T22:07Z","48227","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2016-04-17T17:19Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-03-18T05:12Z","2016-06-06T13:32Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1022082594,"urn:catalog:CAS:DS:32762","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?DS32762&related=yes","DS","VascularPlants","PRESERVED_SPECIMEN","DS32762","397","Le","Roy","Abrams,","E.","A.","McGregor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1022096687,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC60003&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC60003&related=yes","HSC","VascularPlants","PRESERVED_SPECIMEN","HSC60003","466","M.","A.","Baker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1022145975,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCD22632&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCD22632&related=yes","UCD","VascularPlants","PRESERVED_SPECIMEN","UCD22632","26","Joseph","Laferri&egrave;re","","","1982-04-20T00:00Z","1982","4","20","04","20","1982","US","California","Solano","Roadside","Hwy","128,","1/4","mile","east","of","Monticello","Dam,","9","miles","west","of","Winters","320","ft.","38.5128","-122.1001","148.0","GoogleMaps","via","BerkeleyMapper","(copied","from","CAS1131090)","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:51Z","2016-01-29T19:51Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1022157574,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SBBG111181&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SBBG111181&related=yes","SBBG","VascularPlants","PRESERVED_SPECIMEN","SBBG111181","HL","806","E.","Painter,","E.","Neese","","","1994-07-20T00:00Z","1994","7","20","Jul","20","1994","US","California","Monterey","Santa","Lucia","Mtns:","Del","Venturi","Rd","ford","of","San","Antonio","River,","ca.","1.6","km","W","of","Milpitas","Reservoir;","Ft","Hunter","Liggett","370","m","36.07019006388904","-121.32223203956417","1200.0","Terrain","Nav.","v.","8.7","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","COORDINATE_REPROJECTED","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T20:22Z","2016-01-29T20:22Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1022171876,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM308336&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM308336&related=yes","POM","VascularPlants","PRESERVED_SPECIMEN","POM308336","3047","Henry","J.","Ramsey,","Mrs.","Henry","J.","Ramsey","","","1937-07-18T00:00Z","1937","7","18","Jul","18","1937","US","California","Los","Angeles","Altadena,","San","Gabriel","Mts.,","Soldier\'s","Creek.","34.3181","-117.8274","1500.0","Google","Earth","(copied","from","POM308104)","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:54Z","2016-01-29T19:54Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1022176396,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA805286&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA805286&related=yes","RSA","VascularPlants","PRESERVED_SPECIMEN","RSA805286","11695","Steve","Boyd,","Valentin","Arvizu,","R.","E.","Riefner","","","2006-09-21T00:00Z","2006","9","21","Sep","21","2006","US","California","Los","Angeles","Side","drainage","of","La","Tuna","Creek","just","west","of","La","Tuna","Canyon","Road","offramp","from","210","Freeway,","adjacent","to","parking","area","for","Santa","Monica","Mountains","Conservancy","reserve","lands.","34.23333","-118.30556","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T20:22Z","2016-01-29T20:22Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1022246524,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SFV10861&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SFV10861&related=yes","SFV","VascularPlants","PRESERVED_SPECIMEN","SFV10861","409","M.","L.","Vincent","","","1963-06-08T00:00Z","1963","6","8","Jun","8","1963","US","California","Butte","Concow","Lake,","Concow","Road","-","Nelson","Bar","Road.","615","m","39.75980884141967","-121.52078411874538","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","COORDINATE_REPROJECTED","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:56Z","2016-01-29T19:56Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1022316300,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA394193&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA394193&related=yes","RSA","VascularPlants","PRESERVED_SPECIMEN","RSA394193","s.n.","L.","H.","Jones","","","1909-04-14T00:00Z","1909","4","14","Apr","14","1909","US","California","Santa","Clara","Stone","Crusher","on","San","Francisquito","Creek,","Stanford","University.","46","m","37.4151","-122.1878","900.0","GoogleMaps","via","BerkeleyMapper","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:57Z","2016-01-29T19:57Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1022348112,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?LA49821&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?LA49821&related=yes","LA","VascularPlants","PRESERVED_SPECIMEN","LA49821","sn","K.","Kneen","","","1933-04-29T00:00Z","1933","4","29","April","29","1933","US","California","Los","Angeles","Santa","Monica","Mountains,","Topanga","Canyon","34.092","-118.6019","6500.0","Google","Earth","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:57Z","2016-01-29T19:57Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1022375398,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SBBG46079&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SBBG46079&related=yes","SBBG","VascularPlants","PRESERVED_SPECIMEN","SBBG46079","D.","E.","Emery","","","1959-07-23T00:00Z","1959","7","23","Jul","23","1959","US","California","Santa","Barbara","Santa","Ynez","Mtns:","NE","of","Cold","Spring","Tavern,","(rd","marker","S770+88)","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","false","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:58Z","2016-01-29T19:58Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1022418581,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM306283&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?POM306283&related=yes","POM","VascularPlants","PRESERVED_SPECIMEN","POM306283","1395","Henry","J.","Ramsey,","Mrs.","Henry","J.","Ramsey","","","1938-05-01T00:00Z","1938","5","1","May","1","1938","US","California","Los","Angeles","Eaton","Canyon","Park,","Altadena.","34.1889","-118.094","2000.0","Google","Earth","(copied","from","OBI33638)","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:58Z","2016-01-29T19:58Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1022461982,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA15275&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA15275&related=yes","RSA","VascularPlants","PRESERVED_SPECIMEN","RSA15275","241","C.","B.","Wolf","","","1927-04-03T00:00Z","1927","4","3","Apr","3","1927","US","California","San","Mateo","1","mile","above","La","Honda.","Santa","Cruz","Mountains","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","false","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T19:59Z","2016-01-29T19:59Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1022551621,"urn:catalog:CAS:BOT:592627","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?CAS592627&related=yes","CAS","VascularPlants","PRESERVED_SPECIMEN","CAS592627","SM","31","Eben","McMillan","","","1970-06-30T00:00Z","1970","6","30","June","30,","1970","US","California","Ventura","Near","the","top","of","Sulphur","Mountain,","4","miles","SE","of","Ojai","2700","ft","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","false","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T20:00Z","2016-01-29T20:00Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1036398871,"c3c8ff4b-0920-4cde-aac5-1924ea2c6bda","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UC1071637&related=yes","UC","VascularPlants","PRESERVED_SPECIMEN","UC1071637","48","A.","D.","Gifford","","","1934-04-02T00:00Z","1934","4","2","Apr","2","1934","US","California","Ventura","1/2","mi","sw","Hutton","Peak;","Piru","Quad.,","sw","of","Hutton","Peak","1100","ft","34.4318","-118.8578","825.0","trs2LL","Acer","macrophyllum","Pursh","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:35Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-01-29T20:03Z","2016-01-29T20:03Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1228116020,"http://n2t.net/ark:/65665/3ab84dce5-c3b1-42a4-9e48-c21c023cdd6b","https://creativecommons.org/publicdomain/zero/1.0/","PhysicalObject","US","Botany","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/3ab84dce5-c3b1-42a4-9e48-c21c023cdd6b","616607.11861361","s.n.","T.","V.","Munson","&","L.","S.","Hopkins","","","Genbank:","1889-08-31T00:00Z","243","243","1889","8","31","North","America,","United","States,","Oregon,","Josephine","County","NORTH_AMERICA","US","Oregon","Josephine","County","Grant's","Pass.","Acer","macrophyllum","Pursh","Plantae,","Dicotyledonae,","Sapindales,","Aceraceae","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","macrophyllum","SPECIES","5df38344-b821-49c2-8174-cf0f29f4df0d","US","2016-04-17T16:02Z","false","false","3189835","6","7707728","220","933","6657","3189834","3189835","Acer","macrophyllum","Acer","DWC_ARCHIVE","2016-02-09T18:14Z","2016-04-27T22:22Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
