"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1",1090546343,"BRA:IAC:IAC:0000017112","pt","Creative","Commons","Attribution","Non","Commercial","(CC-BY-NC)","4.0","License.","IAC","-","Herbário","do","Instituto","Agronômico","de","Campinas","Collection","IAC","IAC","IAC","-","Herbário","do","Instituto","Agronômico","de","Campinas","Instituto","Agronômico","de","Campinas,","IAC","PRESERVED_SPECIMEN","BRA:IAC:IAC:0000017112","17112","29117","J.T.Howell","da","academia","de","ciencias","da","Califórnia","1953-07-16T00:00Z","1953","7","16","US","California","Mendoncino","county","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","1064b787-c882-493e-b17d-4ffba363b776","BR","2016-04-17T15:23Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2015-07-12T15:26Z","2016-05-07T15:28Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1022288697,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA138100&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?RSA138100&related=yes","RSA","VascularPlants","PRESERVED_SPECIMEN","RSA138100","237","Mallory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1230523916,"W","Herbarium","W","PRESERVED_SPECIMEN","1916-0037852","Cusick,W.C.","s.n.","[1884]","1884-01-01T00:00Z","1884","1","1","US","sine","loco","L.","Pignotti","(W)","2010","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","7f5260c2-f762-11e1-a439-00145eb45e9a","AT","2016-04-15T15:11Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","BIOCASE","2016-01-28T16:46Z","2016-01-28T16:46Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",466083730,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V61763","W.C.","McCalla","1943-09-13T00:00Z","1943","9","13","CA","Alberta","moraine","lake,","Banff","W.C.","McCalla","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T15:23Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",466307751,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V18545","John","W.","Eastham","1941-07-17T00:00Z","1941","7","17","CA","British","Columbia","Kootenay","National","Park,","halfway","through","B.C.","section","50.95","-116.03333","B.","Boivin","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T15:23Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",466307765,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V18482","John","W.","Eastham","1947-07-11T00:00Z","1947","7","11","CA","British","Columbia","Fairmont","Hot","Springs,","in","screes","at","foot","of","cliffs","above","hotel","50.31667","-115.83333","K.L.","Marr","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T15:23Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",466307817,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V18532","CA","British","Columbia","K.L.","Marr","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T15:23Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",466307932,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V18546","E.L.","Burgess","1915-08-20T00:00Z","1915","8","20","CA","British","Columbia","Kamloops,","Fraser,","Fly","Hill,","forest","reserve","50.71667","-119.45","C.W.","Greene","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T15:23Z","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",441705955,"UWBM","Plants","PRESERVED_SPECIMEN","24876","R.","F.","Daubenmire","1940-06-23T00:00Z","1940","6","23","US","Washington","Ferry","20","miles","south","of","Republic,","Washington.","48.35889","-118.73667","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T16:47Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DIGIR","2014-10-07T14:53Z","2014-10-07T14:53Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",441705990,"UWBM","Plants","PRESERVED_SPECIMEN","32040","J.L.","Peterson","1912-09-15T00:00Z","1912","9","15","US","Oregon","Minam","Forest.","Eagle","Creek.","Therese","Ohlson","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T16:47Z","1768.0","0.0","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DIGIR","2014-10-07T14:53Z","2014-10-07T14:53Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",441706218,"UWBM","Plants","PRESERVED_SPECIMEN","42873","C.","L.","Hitchcock","1944-08-19T00:00Z","1944","8","19","US","Idaho","Custer","Lemhi","Range,","western","base","of","Mount","Mogg,","1.5","miles","north","of","Old","Sawmill","in","Morse","Creek","Canyon.","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T16:47Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DIGIR","2014-10-07T14:53Z","2014-10-07T14:53Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",441706246,"UWBM","Plants","PRESERVED_SPECIMEN","42958","John","R.","Heggem","1937-06-05T00:00Z","1937","6","5","US","Washington","Yakima","Snoqualmie","Forest.","46.80568","-121.20545","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T16:47Z","1219.5","30.5","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DIGIR","2014-10-07T14:53Z","2014-10-07T14:53Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",51775404,"OSC","OSC","PRESERVED_SPECIMEN","OSC60735","William","E.","Lawrence","1917-07-16T00:00Z","1917","7","16","NORTH_AMERICA","US","Oregon","Morrow","north","facing","slope,","Blue","Mts.","southeast","of","Steppner;","up","Willow","Creek,","16","miles","S.E.","of","Steppner.","Halse,","R.","2008-01-01T00:00Z","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","84aa5ee4-f762-11e1-a439-00145eb45e9a","US","2016-04-17T15:23Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DIGIR","2014-05-29T11:28Z","2015-07-16T12:32Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",51775512,"OSC","OSC","PRESERVED_SPECIMEN","OSC90943","Albert","N.","Steward,","E.R.","Jackman","1953-08-04T00:00Z","1953","8","4","NORTH_AMERICA","US","Oregon","Baker","above","Eagle","Creek,","1","mi.","N","of","Lily","White","Guard","Station.","44.9784","-117.3797","1609.34","Halse,","R.","2008-01-01T00:00Z","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","84aa5ee4-f762-11e1-a439-00145eb45e9a","US","2016-04-17T15:23Z","1280.16","0.0","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DIGIR","2014-05-29T11:28Z","2015-07-16T12:32Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1139826844,"L.1242884","Naturalis","Botany","PRESERVED_SPECIMEN","http://data.biodiversitydata.nl/naturalis/specimen/L.1242884","L.1242884","Suksdorf","WN","1903-07-03T00:00Z","1903","7","3","1903-07-03","US","Washington's","Flora,","W.","Klickitat","County,","Bingen.","Deyeuxia","rubescens","(Buckley)","Vasey","Plantae|Magnoliopsida|Poales|Gramineae","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","species","ICN","15f819bd-6612-4447-854b-14d12ee1022d","NL","2016-04-17T15:55Z","false","false","4110464","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Deyeuxia","DWC_ARCHIVE","2016-02-02T00:45Z","2016-05-25T22:08Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1097770187,"89ceae2a-42ad-474a-bb70-6368c7d40649","en","The","New","York","Botanical","Garden","PhysicalObject","NY","PRESERVED_SPECIMEN","89ceae2a-42ad-474a-bb70-6368c7d40649","1647494","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","ICBN","d415c253-4d61-4459-9d25-4015b9084fb0","US","2016-04-17T16:33Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2015-11-17T16:34Z","2015-11-17T16:34Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1097975297,"ae6d26bd-5e72-4764-b764-72c6e57e6bf2","en","The","New","York","Botanical","Garden","PhysicalObject","NY","PRESERVED_SPECIMEN","ae6d26bd-5e72-4764-b764-72c6e57e6bf2","1647429","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","ICBN","d415c253-4d61-4459-9d25-4015b9084fb0","US","2016-04-17T16:33Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2015-11-17T16:36Z","2015-11-17T16:36Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1097979930,"af3cafd0-404a-4031-aae7-e4ee0623bf61","en","The","New","York","Botanical","Garden","PhysicalObject","NY","PRESERVED_SPECIMEN","af3cafd0-404a-4031-aae7-e4ee0623bf61","1647515","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","ICBN","d415c253-4d61-4459-9d25-4015b9084fb0","US","2016-04-17T16:33Z","false","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2015-11-17T16:36Z","2015-11-17T16:36Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1020943653,"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCD57733&related=yes","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCD57733&related=yes","UCD","VascularPlants","PRESERVED_SPECIMEN","UCD57733","237","Richard","M.","Mallroy","","","1954-07-01T00:00Z","1954","7","1","07","01","1954","US","California","Santa","Cruz","Santa","Cruz","County:","Big","Basin","Redwood","State","Park,","Middle","Ridge","Fire","Road","1/4","m.","south","Ocean","View","Summit","37.1829","-122.2318","435.0","GoogleMaps","via","BerkeleyMapper","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:18Z","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2016-01-29T20:04Z","2016-01-29T20:04Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1021262092,"urn:catalog:CAS:DS:110888","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?DS110888&related=yes","DS","VascularPlants","PRESERVED_SPECIMEN","DS110888","s.n.","W.","R.","Dudley","","","1905-09-23T00:00Z","1905","9","23","Sept.","23,","1905","US","California","Santa","Cruz","Santa","Cruz","Peninsula.","Woods","between","Lily","Pond","and","the","Potrero.","37.1689","-122.2208","10000.0","(copied","from","UCR19804)","Calamagrostis","rubescens","Buckley","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","rubescens","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T15:18Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2704893","6","7707728","196","1369","3073","2704858","2704893","Calamagrostis","rubescens","Calamagrostis","DWC_ARCHIVE","2016-01-29T20:10Z","2016-01-29T20:10Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
