"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1",466179364,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V80844","A.","Jablanczy","1958","CA","British","Columbia","Mount","Seymour","49.0","-122.0","A.","Jablanczy","1959","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",441857999,"UWBM","Plants","PRESERVED_SPECIMEN","123249","L.","R.","Abrams","1922-07-17T00:00Z","1922","7","17","US","Washington","Paradise","Camp,","Mount","Ranier","National","Park.","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","1646.0","0.0","false","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DIGIR","2014-10-07T16:38Z","2014-10-07T16:38Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",918890416,"Vaccinium","deliciosum","(UBC","V92673)","85867","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2013-08-07T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=88569&ass_num=V92673","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","85867","V92673","s.n.","Vernon","C.","Brink","mounted","Vaccinium","membranaceum","by","Ferenc","Tusko","1961;","A.","Vaccinium","membranaceum","Det.","Jamie","D.","Fenneman","2013,","University","of","British","Columbia","Herbarium,","B.","Vaccinium","deliciosum","Det.","Jamie","D.","Fenneman","2013,","University","of","British","Columbia","Herbarium","1951-09-06T00:00Z","1951","9","6","1951","Sep","06","CA","British","Columbia","Garibaldi","Park,","Crystal","Lakes","Paul","Ridge","4500-5000","ft","49.0","-123.0","Jamie","D.","Fenneman","2013-01-01T00:00Z","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-02-15T18:09Z","2016-02-15T18:09Z","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",918924660,"Vaccinium","deliciosum","(UBC","V46572)","120495","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2012-04-05T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=123682&ass_num=V46572","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","120495","V46572","4999","Vladimir","J.","Krajina;","R.H.","Spilsbury;","Adam","F.","Szczawinski","mounted","1950-07-23T00:00Z","1950","7","23","1950","Jul","23","CA","British","Columbia","green","Mt.,","Vancouver","Island","1200","m","49.05","-124.31667","unknown","Vladimir","J.","Krajina","1955","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-02-15T18:09Z","2016-02-15T18:09Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1021291765,"389c1e89-5a7b-49bb-a0b9-e77c81dace47","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UC56728&related=yes","UC","VascularPlants","PRESERVED_SPECIMEN","UC56728","1617","Harley","P.","Chandler","","","Jun","1901","US","California","Siskiyou","near","Marble","Mountain;","North","Coast","Ranges","7000","ft","41.56107450231362","-123.20994065599051","4963.0","Terrain","Navigator","Pro","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","4fa894f4-b6c6-4ec0-b816-9bb03b3ca106","US","2016-04-17T14:49Z","COORDINATE_REPROJECTED","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-01-29T20:11Z","2016-01-29T20:11Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",41854860,"USA026","USA026","UNKNOWN","1449878","US","Willamette","Nat'l","Forest","44.33333","-121.83333","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","85802736-f762-11e1-a439-00145eb45e9a","US","2016-04-15T23:57Z","1585.0","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","BIOCASE","2013-09-07T09:11Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",441857400,"UWBM","Plants","PRESERVED_SPECIMEN","31347","Sarah","Gage","2002-08-10T00:00Z","2002","8","10","US","Washington","Chelan","North","Cascades","National","Park;","Southeast","of","Cascade","Pass;","begining","of","Ptarmigan","Traverse;","northeast-facing","slope.","48.46515","-121.05977","Ben","Legler","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:03Z","1704.0","0.0","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DIGIR","2014-10-07T16:38Z","2014-10-07T16:38Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",466266236,"University","of","British","Columbia","UBC","PRESERVED_SPECIMEN","V16437","F.","Perry","1939","CA","British","Columbia","Hope","Mts.","Vladimir","J.","Krajina","1955","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","false","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2013-09-07T09:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",51982805,"OSC","OSC","PRESERVED_SPECIMEN","OSC80602","Don","Menefee","1948-08-03T00:00Z","1948","8","3","NORTH_AMERICA","US","Oregon","Klamath","Cow","Horn,","east","slope","of","Diamond","Peak.","43.5281","-122.1455","4828.03","Chambers,","H.","1999-01-01T00:00Z","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","84aa5ee4-f762-11e1-a439-00145eb45e9a","US","2016-04-17T14:51Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DIGIR","2014-05-29T11:29Z","2015-07-16T13:24Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",918851895,"Vaccinium","deliciosum","(UBC","V97011)","46763","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2012-04-05T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=49096&ass_num=V97011","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","46763","V97011","s.n.","E.B.","Peterson","mounted","1961-08-04T00:00Z","1961","8","4","1961","Aug","04","exposed","rocky","bluff","CA","British","Columbia","near","the","lions","coast","Mt.","1390","m","49.45","-123.2","unknown","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-02-15T18:09Z","2016-02-15T18:09Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",918888630,"Vaccinium","deliciosum","(UBC","V74901)","84086","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2012-04-05T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=86780&ass_num=V74901","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","84086","V74901","96-1","D.","Mueller-Dombois","mounted","1957-08-07T00:00Z","1957","8","7","1957","Aug","07","on","logged","&","burnt","glacial","soil","CA","British","Columbia","Vancouver","Island,","Nanaimo","River","Valley,","western","end","of","valley","326","m","49.06667","-124.38333","unknown","D.","Mueller-Dombois","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-02-15T18:09Z","2016-02-15T18:09Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",918902855,"Vaccinium","deliciosum","(UBC","V86279)","98444","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2013-10-04T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=101324&ass_num=V86279","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","98444","V86279","60603","Katherine","I.","Beamish;","Freek","Vrugtman","mounted","Vaccinium","sp.","by","Katherine","I.","Beamish,","F.","Vrugtman","1960;","Vaccinium","membranaceum","Det.","John","W.","Eastham","1960;","!","S.P.","Vander","Kloet","1983,","E.C.","Smith","Herbarium,","Wolfville,","Nova","Scotia;","Vaccinium","deliciosum","Det.","Jamie","D.","Fenneman","2013,","University","of","British","Columbia","Herbarium","1960-07-04T00:00Z","1960","7","4","1960","Jul","04","Rocky","opening","with","Menziesia,","Phyllodoce","CA","British","Columbia","Mount","Seymour","Park","3200","ft","49.0","-122.0","Jamie","D.","Fenneman","2013-01-01T00:00Z","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","true","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-02-15T18:09Z","2016-02-15T18:09Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",918922539,"Vaccinium","deliciosum","(UBC","V45157)","118375","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2012-04-05T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=121486&ass_num=V45157","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","118375","V45157","s.n.","V.","Bednar;","Satoru","Kojima;","Vladimir","J.","Krajina","mounted","1967-08-03T00:00Z","1967","8","3","1967","Aug","03","CA","British","Columbia","Mount","Seymour","provincial","park","unknown","V.","Bednar;","Satoru","Kojima","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:51Z","COORDINATE_INVALID","false","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-02-15T18:09Z","2016-02-15T18:09Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1265805177,"DAV:Herbarium:118056","PhysicalObject","UCD","Herbarium","PRESERVED_SPECIMEN","DAV:Herbarium:118056","118056","277","R.","O.","Hanes","1995-07-17T00:00Z","1995","7","17","US","California","Sierra","County","Sierra","County:","Tahoe","Forest.","Harris","Meadow.","Vaccinium","deliciosum","Piper","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","deliciosum","SPECIES","84de00a0-f762-11e1-a439-00145eb45e9a","US","2016-05-03T18:42Z","false","false","2882961","6","7707728","220","1353","2505","2882813","2882961","Vaccinium","deliciosum","Vaccinium","DWC_ARCHIVE","2016-05-03T18:41Z","2016-05-03T18:41Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
