"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","typifiedName","protocol","lastParsed","lastCrawled"
"1",344770678,"WU","BG","PRESERVED_SPECIMEN","62","Jakub","Dolatowski","2000-05-05T00:00Z","2000","5","5","EUROPE","PL","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","82d66fc2-f762-11e1-a439-00145eb45e9a","PL","2016-04-16T00:14Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DIGIR","2014-10-07T14:57Z","2014-10-07T14:57Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",43908945,"urn:catalog:KVL:Arboretum:1981,032","17","KVL","Arboretum","LIVING_SPECIMEN","1,981,032","Copenhagen","University's","Arboretum","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","84c6cb56-f762-11e1-a439-00145eb45e9a","DK","2016-04-17T14:36Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2014-05-29T11:29Z","2014-01-08T16:12Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",735559257,"NGOET","New","Botanical","Garden","Goettingen","LIVING_SPECIMEN","368201","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","dfcb0ee8-614f-11e2-897a-00145eb45e9a","DE","2016-04-16T00:14Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","BIOCASE","2014-11-07T15:14Z","2016-05-07T03:58Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",918966093,"Mahonia","nervosa","(UBC","V237001)","162821","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2013-08-19T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=206231&ass_num=V237001","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","162821","V237001","857","E.R.","Manton;","K.","McGrath","mounted","Mahonia","nervosa","by","E.R.","Manton","2012","2011-08-08T00:00Z","2011","8","8","2011","Aug","08","CA","British","Columbia","Greater Vancouver Regional District, Mt. Seymour Provincial Park, Baden Powell trail","1171","m","WGS84","E.R.","Manton","2012-01-01T00:00Z","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:36Z","COORDINATE_INVALID","STILLIMAGE","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-02-15T18:10Z","2016-02-15T18:10Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",918966204,"Mahonia","nervosa","(UBC","V237071)","162899","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2013-08-19T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=206309&ass_num=V237071","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","162899","V237071","725","E.R.","Manton;","K.","McGrath","mounted","Mahonia","nervosa","by","E.R.","Manton","2012","2011-07-19T00:00Z","2011","7","19","2011","Jul","19","CA","British","Columbia","Vancouver Island, Comox-Strathcona Regional District, Gosling Lake Forest Recreation Site","256","m","WGS84","E.R.","Manton","2012-01-01T00:00Z","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:36Z","COORDINATE_INVALID","STILLIMAGE","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-02-15T18:10Z","2016-02-15T18:10Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1061098477,"urn:catalog:UCMP:P:BCL28","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=PBCL28&one=T","http://vertnet.org/resources/norms.html","UCMP","P","PRESERVED_SPECIMEN","Location","data","available","to","qualified","researchers","on","request.","BCL28","leaf","UC415116","CL18","NORTH_AMERICA","US","California","Humboldt","County","Humboldt","Co.","CL18","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","ICBN","58d0f326-2e85-4d0a-a744-571461220f00","US","2016-04-17T16:06Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-04-07T21:24Z","2016-05-26T21:39Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",439066451,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p02313120","MNHN","P","PRESERVED_SPECIMEN","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02313120","P02313120","hb","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","b5cdf794-8fa4-4a85-8b26-755d087bf531","FR","2016-05-25T17:02Z","STILLIMAGE","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-05-25T15:55Z","2016-05-25T15:55Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",439066449,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p02313136","MNHN","P","PRESERVED_SPECIMEN","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02313136","P02313136","hb","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","b5cdf794-8fa4-4a85-8b26-755d087bf531","FR","2016-05-25T17:02Z","STILLIMAGE","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-05-25T15:55Z","2016-05-25T15:55Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",439400079,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p02313132","MNHN","P","PRESERVED_SPECIMEN","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02313132","P02313132","hb","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","b5cdf794-8fa4-4a85-8b26-755d087bf531","FR","2016-05-25T17:02Z","STILLIMAGE","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-05-25T15:55Z","2016-05-25T15:55Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",295147461,"OSA","C","PRESERVED_SPECIMEN","OSA73833","US","Washington","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","86986958-f762-11e1-a439-00145eb45e9a","JP","2016-04-17T14:36Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DIGIR","2014-05-29T12:57Z","2014-07-18T02:29Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",918953649,"Mahonia","nervosa","(UBC","V229658)","149808","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2012-02-21T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=178641&ass_num=V229658","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","149808","V229658","29-Apr","Miranda","Corkum","mounted","Mahonia","nervosa","by","Miranda","Corkum","2004","2004-04-11T00:00Z","2004","4","11","2004","Apr","11","Disturbed forest lot, partly shaded gentle slope, soil dry, acidic humous","CA","British","Columbia","Gabriola Island, southern end of island next to Silva Bay, 3315 South Road","unknown","Miranda","Corkum","2004-01-01T00:00Z","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:36Z","COORDINATE_INVALID","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-02-15T18:10Z","2016-02-15T18:10Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43909569,"urn:catalog:KVL:Arboretum:1999,0154","17","KVL","Arboretum","LIVING_SPECIMEN","19,990,154","Copenhagen","University's","Arboretum","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","84c6cb56-f762-11e1-a439-00145eb45e9a","DK","2016-04-17T14:36Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2014-05-29T11:29Z","2014-01-08T16:13Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",441785721,"UWBM","Plants","PRESERVED_SPECIMEN","79083","J.","A.","Calder","1961-04-30T00:00Z","1961","4","30","CA","British","Columbia","Five","miles","northwest","of","Merville","between","Campbell","River","&","Courtenay.","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","8310f570-f762-11e1-a439-00145eb45e9a","US","2016-04-17T17:13Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DIGIR","2014-10-07T15:53Z","2014-10-07T15:53Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",887201048,"http://n2t.net/ark:/65665/362e72a5a-4425-4b81-bf0e-7070d2b266a4","https://creativecommons.org/publicdomain/zero/1.0/","PhysicalObject","US","Botany","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/362e72a5a-4425-4b81-bf0e-7070d2b266a4","2728.100582","s.n.","Wilkes","Explor.","Exped.","","Genbank:","2728","1838","North America, United States, Washington","NORTH_AMERICA","US","Washington","Port Discovery, Puget Sound","Mahonia","nervosa","(Pursh)","Nutt.","Plantae, Dicotyledonae, Ranunculales, Berberidaceae","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","5df38344-b821-49c2-8174-cf0f29f4df0d","US","2016-04-28T05:52Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-04-27T22:16Z","2016-04-27T22:16Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",918966078,"Mahonia","nervosa","(UBC","V236972)","162799","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","2013-08-19T00:00Z","http://bridge.botany.ubc.ca/herbarium/details.php?db=vwsp.fmp12&layout=vwsp_web_details&recid=206209&ass_num=V236972","University","of","British","Columbia","PhysicalObject","urn:lsid:biocol.org:col:15106","http://dataset.canadensys.net/ubc-vascular-specimens","University","of","British","Columbia","UBC","University","of","British","Columbia","Herbarium","(UBC)","-","Vascular","Plants","Collection","University","of","British","Columbia","PRESERVED_SPECIMEN","162799","V236972","317","E.R.","Manton;","K.","McGrath","mounted","Mahonia","nervosa","by","E.R.","Manton","2012","2011-05-05T00:00Z","2011","5","5","2011","May","05","CA","British","Columbia","Vancouver Island, Capital Regional District, Gowlland Tod Provincial Park","140","m","WGS84","E.R.","Manton","2012-01-01T00:00Z","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","ICBN","07fd0d79-4883-435f-bba1-58fef110cd13","CA","2016-04-17T14:36Z","COORDINATE_INVALID","STILLIMAGE","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","DWC_ARCHIVE","2016-02-15T18:10Z","2016-02-15T18:10Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",735559251,"THARF","Forest","Botanical","Garden","Tharandt","LIVING_SPECIMEN","225741","Mahonia","nervosa","(Pursh)","Nutt.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","nervosa","SPECIES","dfcb0ee8-614f-11e2-897a-00145eb45e9a","DE","2016-04-16T00:14Z","FALSE","FALSE","3033875","6","7707728","220","399","6673","3033893","3033877","Berberis","nervosa","Mahonia","BIOCASE","2014-11-07T15:13Z","2016-05-07T03:58Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
